,computer,esp,graph,human,interface,minor,response,survey,system,time,tree,user
computer,1.0,-0.0863770831596945,0.1623582627619934,0.32541099907472437,0.44161557383585087,0.05065092117960063,0.5281548251372703,0.5883040568438651,0.18276152628247933,0.5281548251372704,0.30102057083958533,0.4839397651382878
esp,-0.0863770831596945,1.0,0.06566999734885785,0.5628350859722285,0.47289159059339736,0.03042974040531873,-0.014727778751096314,-0.006452538312133234,0.8672338689453258,-0.014727778751096307,0.11649106200657479,0.4275131375430665
graph,0.1623582627619934,0.06566999734885785,1.0,0.4071101856391472,0.10505564912012856,0.9469035861777114,0.02398225770593834,0.4516418779832257,0.10501045096693096,0.023982257705938276,0.6697646437333695,-0.018890428474625524
human,0.32541099907472437,0.5628350859722285,0.4071101856391472,1.0,0.4475765849005162,0.18198639316883033,-0.09046926386916071,-0.024150304565899935,0.5854375979073428,-0.0904692638691607,0.7327060827493301,0.06686984788747292
interface,0.44161557383585087,0.47289159059339736,0.10505564912012856,0.4475765849005162,1.0,0.04448024055385795,-0.022988664390252867,-0.004174492183889257,0.222177930263877,-0.022988664390252794,0.18809971534362846,0.4451636259965207
minor,0.05065092117960063,0.03042974040531873,0.9469035861777114,0.18198639316883033,0.04448024055385795,1.0,0.012422075286142921,0.5418391216583314,0.03779867834841348,0.01242207528614285,0.3968139881419516,-0.007595325854934925
response,0.5281548251372703,-0.014727778751096314,0.02398225770593834,-0.09046926386916071,-0.022988664390252867,0.012422075286142921,1.0,0.5049934781849523,0.28129952813925835,1.0000000000000002,0.044747670827901126,0.8241012866227535
survey,0.5883040568438651,-0.006452538312133234,0.4516418779832257,-0.024150304565899935,-0.004174492183889257,0.5418391216583314,0.5049934781849523,1.0,0.3127641895187173,0.5049934781849522,-0.0076040343463521,0.41386664747077645
system,0.18276152628247933,0.8672338689453258,0.10501045096693096,0.5854375979073428,0.222177930263877,0.03779867834841348,0.28129952813925835,0.3127641895187173,1.0,0.28129952813925846,0.1923047727838755,0.5118655011901888
time,0.5281548251372704,-0.014727778751096307,0.023982257705938276,-0.0904692638691607,-0.022988664390252794,0.01242207528614285,1.0000000000000002,0.5049934781849522,0.28129952813925846,1.0,0.04474767082790115,0.8241012866227535
tree,0.30102057083958533,0.11649106200657479,0.6697646437333695,0.7327060827493301,0.18809971534362846,0.3968139881419516,0.044747670827901126,-0.0076040343463521,0.1923047727838755,0.04474767082790115,1.0,-0.033769311431434176
user,0.4839397651382878,0.4275131375430665,-0.018890428474625524,0.06686984788747292,0.4451636259965207,-0.007595325854934925,0.8241012866227535,0.41386664747077645,0.5118655011901888,0.8241012866227535,-0.033769311431434176,1.0
